run,architecture,commitment_id,deposit_amount_eth,submit_block,deposit_block,claim_block,blocks_to_unlock,deposit_gas,claim_gas
0,ZK,28,0.2419,448,449,454,4,70467,66282
0,Optimistic,25,0.1611,455,456,466,9,70467,81403
1,ZK,29,0.4110,467,468,473,4,70467,66282
1,Optimistic,26,0.2004,474,475,485,9,70467,81403
2,ZK,30,0.4992,486,487,492,4,70467,66282
2,Optimistic,27,0.4371,493,494,504,9,70467,81403
3,ZK,31,0.3544,505,506,511,4,70467,66282
3,Optimistic,28,0.0403,512,513,523,9,70467,81403
4,ZK,32,0.4959,524,525,530,4,70467,66282
4,Optimistic,29,0.1988,531,532,542,9,70467,81403
5,ZK,33,0.2232,543,544,549,4,70467,66282
5,Optimistic,30,0.4499,550,551,561,9,70467,81403
6,ZK,34,0.3842,562,563,568,4,70467,66282
6,Optimistic,31,0.4085,569,570,580,9,70467,81403
7,ZK,35,0.0675,581,582,587,4,70467,66282
7,Optimistic,32,0.1106,588,589,599,9,70467,81403
8,ZK,36,0.3288,600,601,606,4,70467,66282
8,Optimistic,33,0.2396,607,608,618,9,70467,81403
9,ZK,37,0.0141,619,620,625,4,70467,66282
9,Optimistic,34,0.1108,626,627,637,9,70467,81403
10,ZK,38,0.2103,638,639,644,4,70467,66282
10,Optimistic,35,0.1972,645,646,656,9,70467,81403
11,ZK,39,0.3813,657,658,663,4,70467,66282
11,Optimistic,36,0.2006,664,665,675,9,70467,81403
12,ZK,40,0.0788,676,677,682,4,70467,66282
12,Optimistic,37,0.3801,683,684,694,9,70467,81403
13,ZK,41,0.2525,695,696,701,4,70467,66282
13,Optimistic,38,0.3854,702,703,713,9,70467,81403
14,ZK,42,0.2301,714,715,720,4,70467,66282
14,Optimistic,39,0.0749,721,722,732,9,70467,81403
15,ZK,43,0.0422,733,734,739,4,70467,66282
15,Optimistic,40,0.1330,740,741,751,9,70467,81403
16,ZK,44,0.2441,752,753,758,4,70467,66282
16,Optimistic,41,0.4039,759,760,770,9,70467,81403
17,ZK,45,0.4149,771,772,777,4,70467,66282
17,Optimistic,42,0.0322,778,779,789,9,70467,81403
18,ZK,46,0.4341,790,791,796,4,70467,66282
18,Optimistic,43,0.0969,797,798,808,9,70467,81403
19,ZK,47,0.2413,809,810,815,4,70467,66282
19,Optimistic,44,0.3508,816,817,827,9,70467,81403
20,ZK,48,0.1531,828,829,834,4,70467,66282
20,Optimistic,45,0.0767,835,836,846,9,70467,81403
